source_id,religious_scope
SVK-0001,UNKNOWN | UNKNOWN | Mixed patron-library collection that per manifest notes skews Digambara and generic-Jain, NOT Sthanakvasi; per-item sect audit required before any Sthanakvasi claim | MULTIPLE | various | mixed (per-item audit required)
SVK-0002,CORE_STHANAKAVASI | HIGH | Dual evidence: author Muni Sushil Kumar is a documented Sthanakvasi teacher/monk/Acharya (Wikipedia biographic record, 15 June 1926 - 22 April 1994), and the publisher is explicitly the A.B.S. Sthanakvasi Jain Conference Bhavan, New Delhi | EXPOSITION; CATECHISM | Muni Sushil Kumar (Acharya, 1926-1994) | Akhil Bharatiya Svetambar Sthanakvasi Jain Conference
SVK-0003,CORE_STHANAKAVASI | HIGH | Publisher imprint explicitly S S Jain Conference (Sthanakvasi), Indore 1923 | LEXICON | Muni Ratnachandra | S S Jain Conference (Sthanakvasi)
SVK-0004,CORE_STHANAKAVASI | HIGH | Publisher imprint explicitly S S Jain Conference (Sthanakvasi), Bombay 1930 | LEXICON | Muni Ratnachandra | S S Jain Conference (Sthanakvasi)
SVK-0005,CORE_STHANAKAVASI | HIGH | Publisher imprint explicitly S S Jain Conference (Sthanakvasi); same work as SVK-0004 | LEXICON | Shri Ratna Chandra Ji Maharaj | S S Jain Conference (Sthanakvasi)
SVK-0006,CORE_STHANAKAVASI | HIGH | Title itself names the S Sthanakwasi Jaina Conference as publisher | LEXICON | Muni Ratnachandra Maharaj | S Sthanakwasi Jaina Conference
SVK-0007,CORE_STHANAKAVASI | MEDIUM | Publisher imprint (SS Jain Conference) per bibliographic record; DLI scan carries no explicit statement | LEXICON | Muni Ratnachandra | S S Jain Conference (Sthanakvasi)
SVK-0008,CORE_STHANAKAVASI | LOW | Title names the sect (Sthanakvasi Jainonum Dharmakartavya); no publisher/author metadata to corroborate | CONDUCT MANUAL | unknown | unknown
SVK-0009,CORE_STHANAKAVASI | HIGH | Institutional history of the A.B. Svetambar Sthanakvasi Jain Conference itself | INSTITUTIONAL HISTORY | unknown | Akhil Bharatiya Svetambar Sthanakvasi Jain Conference
SVK-0010,CORE_STHANAKAVASI | LOW | Duplicate scan of SVK-0009; inherits subject but has weaker provenance and no independent verification | INSTITUTIONAL HISTORY | unknown | Akhil Bharatiya Svetambar Sthanakvasi Jain Conference
SVK-0011,UNKNOWN | UNKNOWN | Only incidental mention of Sthanakvasi inside the text; translator and publisher unidentified | PRIMARY CANON (Anga, Acaranga) | unknown | none recorded
SVK-0012,UNKNOWN | UNKNOWN | Canonical mula-sutra translation, but translator and publisher unknown; no Sthanakvasi evidence | PRIMARY CANON (Mulasutra, Dasavaikalika) | unknown | none recorded
SVK-0013,UNKNOWN | UNKNOWN | Canonical text; provenance of the 1934 translation unpublished | PRIMARY CANON (Mulasutra, Uttaradhyayana) | unknown | none recorded
SVK-0014,UNKNOWN | UNKNOWN | Distinct 1962 edition; provenance unpublished | PRIMARY CANON (Mulasutra, Uttaradhyayana) | unknown | none recorded
SVK-0015,UNKNOWN | UNKNOWN | Canonical Anga translation; publisher unidentified | PRIMARY CANON (Anga, Sutrakrtanga) | unknown | none recorded
SVK-0016,UNKNOWN | UNKNOWN | Agam Seva series suggests an institutional publisher but the institution is unidentified | PRIMARY CANON (Mulasutra, Uttaradhyayana) | unknown | unknown (Agam Seva series, publisher unidentified)
SVK-0017,UNKNOWN | UNKNOWN | Canonical Anga; provenance unpublished | PRIMARY CANON (Anga, Jnatadharmakatha) | unknown | none recorded
SVK-0018,UNKNOWN | UNKNOWN | Pravachan genre is central to the tradition but the speaker is unnamed; no sect evidence | PRAVACHAN (discourse) | unknown (pravachan speaker unnamed in metadata) | unknown
SVK-0019,UNKNOWN | UNKNOWN | Stavan repertoire is shared across Jain traditions; no sect evidence | DEVOTIONAL | unknown | none recorded
SVK-0020,UNKNOWN | UNKNOWN | Pathshala textbook; publisher unverified | EDUCATIONAL | unknown | unknown
SVK-0021,COMPARATIVE_OTHER_TRADITION | MEDIUM | Manifest notes state Svetambara-wide scope, not Sthanakvasi; underlying edition unidentified | CANON (Svetambara-wide, English) | unknown | Svetambara (tradition unspecified)
SVK-0022,UNKNOWN | UNKNOWN | Typed Prakrit texts with per-contribution rights; sect must be tagged per text, never collection-level | PRIMARY CANON; COMMENTARY; POETRY | multiple GRETIL contributors | none recorded (per-text)
