"source_id","decision","rule_id","reason","evidence","confidence","requirements","requirements_met","noncommercial","sharealike","verification_required","evaluated_at"
"SVK-0001","WITH_CONDITIONS","R20_PERMISSIVE_LICENCE_UNVERIFIED","The licence is permissive but our own confidence in the licence record is low, so it must be verified before release.","{""license"": ""CC0-1.0 (uploader-asserted)"", ""license_confidence"": ""low""}","low","[""verify the licence against the primary source, then record license_confidence = medium or high""]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0002","NEEDS_PERMISSION","R92_TERM_UNEXPIRED","Published in 1958 and the author's death year is documented (1994); the Indian life+60 term runs to 2054, so the work is in copyright and permission from the rights holder is required.","{""author_death_year"": 1994, ""publication_year"": 1958, ""term_expires"": 2054}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0003","WITH_CONDITIONS","R30_CC0_ASSERTED_PRE_1966","A third-party CC0 tag was applied to a work published in 1923. That is consistent with public-domain status, but the author's death year is not documented, so the basis is unverified.","{""author_death_year"": null, ""license"": ""CC0-1.0"", ""publication_year"": 1923, ""uploader_asserted"": true}","low","[""document the author's death year, or obtain a dated statement from the rights holder for the CC0 dedication""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0004","WITH_CONDITIONS","R30_CC0_ASSERTED_PRE_1966","A third-party CC0 tag was applied to a work published in 1930. That is consistent with public-domain status, but the author's death year is not documented, so the basis is unverified.","{""author_death_year"": null, ""license"": ""CC0-1.0"", ""publication_year"": 1930, ""uploader_asserted"": true}","low","[""document the author's death year, or obtain a dated statement from the rights holder for the CC0 dedication""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0005","WITH_CONDITIONS","R30_CC0_ASSERTED_PRE_1966","A third-party CC0 tag was applied to a work published in 1930. That is consistent with public-domain status, but the author's death year is not documented, so the basis is unverified.","{""author_death_year"": null, ""license"": ""CC0-1.0"", ""publication_year"": 1930, ""uploader_asserted"": true}","low","[""document the author's death year, or obtain a dated statement from the rights holder for the CC0 dedication""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0006","WITH_CONDITIONS","R30_CC0_ASSERTED_PRE_1966","A third-party CC0 tag was applied to a work published in 1932. That is consistent with public-domain status, but the author's death year is not documented, so the basis is unverified.","{""author_death_year"": null, ""license"": ""CC0-1.0"", ""publication_year"": 1932, ""uploader_asserted"": true}","low","[""document the author's death year, or obtain a dated statement from the rights holder for the CC0 dedication""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0007","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1927. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1927}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0008","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1960, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1960}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0009","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1941, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1941}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0010","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1941, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1941}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0011","NEEDS_PERMISSION","R90_MODERN_IN_COPYRIGHT","First published in 1966 and no licence or rights statement is recorded. The work is in copyright and permission from the rights holder would be required.","{""license"": ""none declared"", ""publication_year"": 1966}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0012","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1936, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1936}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0013","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1934, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1934}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0014","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1962, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1962}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0015","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1938, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1938}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0016","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1920. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1920}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0017","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1964, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1964}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0018","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1960, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1960}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0019","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1960, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1960}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0020","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1964, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1964}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0021","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none declared"", ""publication_year"": ""unknown""}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0022","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none declared at site level; per-contribution rights"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0023","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none declared at site level"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0024","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none declared"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0025","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none declared"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0026","TRAINING_ALLOWED","R20_PERMISSIVE_LICENCE","An explicit permissive licence was declared for this source.","{""license"": ""apache-2.0"", ""license_confidence"": ""high""}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0027","TRAINING_ALLOWED","R20_PERMISSIVE_LICENCE","An explicit permissive licence was declared for this source.","{""license"": ""apache-2.0"", ""license_confidence"": ""high""}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0028","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""NOASSERTION"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0029","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none (license: null)"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0030","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""NO TERMS DISCOVERABLE"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0031","WITH_CONDITIONS","R20_PERMISSIVE_LICENCE_UNVERIFIED","The licence is permissive but our own confidence in the licence record is low, so it must be verified before release.","{""license"": ""CC-BY-4.0 (per prior research; RE-VERIFY per item)"", ""license_confidence"": ""low""}","low","[""verify the licence against the primary source, then record license_confidence = medium or high""]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0032","RAG_ALLOWED","R40_SHAREALIKE","ShareAlike material may be redistributed with attribution, but its ShareAlike condition would propagate to a derived training set, so it is admitted to retrieval only and never to the training corpus.","{""license"": ""CC-BY-SA-4.0""}","high","[]","false","false","true","false","2026-09-19T14:44:57+00:00"
"SVK-0033","NOT_ALLOWED","R10_NODERIVATIVES","The licence forbids derivative works, and every stage of this pipeline (normalisation, segmentation, OCR correction, tokenisation) creates a derivative.","{""license"": ""CC-BY-ND-3.0""}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0034","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""none"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0035","UNKNOWN","R99_INSUFFICIENT_EVIDENCE","No licence, no rights statement and no usable publication date are recorded, so no permission decision can be made.","{""ia_rights_statement"": ""false"", ""license"": ""n/a"", ""publication_year"": """"}","low","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0036","NEEDS_PERMISSION","R30_CC0_ASSERTED_TOO_RECENT","A CC0 tag was applied by a third-party uploader to a work first published in 1990. A work published in 1966 or later cannot be public domain under the Indian life+60 term, so the dedication is not credible as a rights-holder grant.","{""author_death_year"": null, ""license"": ""CC0-1.0 (uploader-asserted)"", ""publication_year"": 1990, ""uploader_asserted"": true}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-0037","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1923. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1923}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-0038","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1910. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1910}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1001","TRAINING_ALLOWED","R60_INSTITUTION_RIGHTS_STATEMENT","The holding institution states that the item is not in copyright. This is a positive rights statement about the item, but it is not a licence, so the residual Indian life+60 term is recorded as unverified.","{""ia_rights_statement"": true, ""license"": ""public domain (Internet Archive rights statement)"", ""publication_year"": 1884}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1002","TRAINING_ALLOWED","R60_INSTITUTION_RIGHTS_STATEMENT","The holding institution states that the item is not in copyright. This is a positive rights statement about the item, but it is not a licence, so the residual Indian life+60 term is recorded as unverified.","{""ia_rights_statement"": true, ""license"": ""public domain (Internet Archive rights statement)"", ""publication_year"": 1848}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1003","TRAINING_ALLOWED","R60_INSTITUTION_RIGHTS_STATEMENT","The holding institution states that the item is not in copyright. This is a positive rights statement about the item, but it is not a licence, so the residual Indian life+60 term is recorded as unverified.","{""ia_rights_statement"": true, ""license"": ""public domain (Internet Archive rights statement)"", ""publication_year"": 1848}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1004","WITH_CONDITIONS","R95_CHRONOLOGY_UNRESOLVED","Published in 1933, which is inside the window where public-domain status turns on the author's death year, and no death year is documented.","{""author_death_year"": null, ""publication_year"": 1933}","low","[""document the author's or translator's death year"", ""or obtain a rights-holder statement""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1005","TRAINING_ALLOWED","R60_INSTITUTION_RIGHTS_STATEMENT","The holding institution states that the item is not in copyright. This is a positive rights statement about the item, but it is not a licence, so the residual Indian life+60 term is recorded as unverified.","{""ia_rights_statement"": true, ""license"": ""public domain (Internet Archive rights statement)"", ""publication_year"": 1920}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1006","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1929. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1929}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1007","TRAINING_ALLOWED","R60_INSTITUTION_RIGHTS_STATEMENT","The holding institution states that the item is not in copyright. This is a positive rights statement about the item, but it is not a licence, so the residual Indian life+60 term is recorded as unverified.","{""ia_rights_statement"": true, ""license"": ""public domain (Internet Archive rights statement)"", ""publication_year"": 1906}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1008","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1911. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1911}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1009","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1929. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1929}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-1010","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1917. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1917}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2001","WITH_CONDITIONS","R30_CC0_ASSERTED_PRE_1966","A third-party CC0 tag was applied to a work published in 1938. That is consistent with public-domain status, but the author's death year is not documented, so the basis is unverified.","{""author_death_year"": null, ""license"": ""CC0-1.0 (uploader-asserted, not legally verified)"", ""publication_year"": 1938, ""uploader_asserted"": true}","low","[""document the author's death year, or obtain a dated statement from the rights holder for the CC0 dedication""]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2002","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1936) and the Indian life+60 term has expired (1996 < 2026).","{""author_death_year"": 1936, ""term_expired"": 1996}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2003","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1936) and the Indian life+60 term has expired (1996 < 2026).","{""author_death_year"": 1936, ""term_expired"": 1996}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2004","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1936) and the Indian life+60 term has expired (1996 < 2026).","{""author_death_year"": 1936, ""term_expired"": 1996}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2005","TRAINING_ALLOWED","R70_PRE_1930_PUBLICATION","Published in 1923. A work published in 1929 or earlier is in the public domain by publication date, independent of the author's death year. The Indian life+60 term has not been separately verified.","{""cutoff"": 1929, ""publication_year"": 1923}","medium","[]","false","false","false","true","2026-09-19T14:44:57+00:00"
"SVK-2006","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1940) and the Indian life+60 term has expired (2000 < 2026).","{""author_death_year"": 1940, ""term_expired"": 2000}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2007","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1940) and the Indian life+60 term has expired (2000 < 2026).","{""author_death_year"": 1940, ""term_expired"": 2000}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
"SVK-2008","TRAINING_ALLOWED","R25_LIFE_PLUS_60_EXPIRED","The author's death year is documented (1936) and the Indian life+60 term has expired (1996 < 2026).","{""author_death_year"": 1936, ""term_expired"": 1996}","high","[]","false","false","false","false","2026-09-19T14:44:57+00:00"
